	BDPA
94310,7	3,94112720556832E-4
94310,3	0,00152510353723541
94309,9	-7,2257426177505E-4
94309,5	5,70997537348966E-4
94309,1	3,63679739625811E-4
94308,7	0,00109125537507207
94308,3	5,70589448998076E-4
94307,9	8,5838793510716E-4
94307,5	4,79897549786596E-4
94307,1	-3,88814763188174E-4
94306,7	6,61689436560446E-4
94306,3	8,13250690263797E-4
94305,9	3,23030458924502E-4
94305,5	-3,63692869433961E-4
94305,1	0,00108103907530179
94304,7	0,00169198949076235
94304,3	-8,07911143437803E-5
94303,9	-4,24154814100912E-4
94303,5	-1,51468680255059E-4
94303,1	6,21041512911067E-4
94302,7	-5,05628561141701E-5
94302,3	4,89302922873172E-4
94301,9	-1,05504241221143E-4
94301,5	7,42372133543928E-4
94301,1	0,00212154203694433
94300,7	4,39045921224757E-4
94300,3	0,00153042039188292
94299,9	1,01031327282198E-5
94299,5	-5,20560638822025E-4
94299,1	4,19233935785084E-4
94298,7	1,21423194081153E-4
94298,3	-3,56555658153263E-5
94297,9	1,51451140028131E-4
94297,5	2,21921642323415E-4
94297,1	-9,61075107824631E-5
94296,7	0,0011163731976705
94296,3	0,00110616029053004
94295,9	-9,09477296632341E-4
94295,5	0,0014344226555127
94295,1	-4,19451788294643E-4
94294,7	2,01903882467083E-4
94294,3	7,98345774805832E-4
94293,9	7,57492449929074E-4
94293,5	-2,47463023995455E-4
94293,1	5,80394267787647E-4
94292,7	4,03917539346402E-4
94292,3	0,00112148261551274
94291,9	0,00103508735007155
94291,5	-2,01275003422703E-5
94291,1	0,00100505076147669
94290,7	-6,58861988858155E-5
94290,3	9,74626423193553E-4
94289,9	4,50274704311344E-5
94289,5	3,53669180345882E-4
94289,1	4,69276554295247E-4
94288,7	6,56383599401694E-4
94288,3	7,32159226403468E-4
94287,9	-4,49276029329164E-4
94287,5	-7,12361727823864E-4
94287,1	5,00066121895803E-6
94286,7	-3,99230018189163E-4
94286,3	1,06110190272309E-4
94285,9	2,57662122801804E-4
94285,5	-1,8210570536152E-4
94285,1	-4,65006442662749E-4
94284,7	-2,27242950204895E-4
94284,3	2,37236308520885E-4
94283,9	5,20538392036853E-6
94283,5	0,00136864453472419
94283,1	-5,45689818172193E-4
94282,7	1,11007599817182E-4
94282,3	5,54440824840551E-5
94281,9	-0,00103550196116061
94281,5	8,84127211405768E-4
94281,1	7,93027223843408E-4
94280,7	5,86117514471142E-4
94280,3	7,97935650877045E-4
94279,9	6,96827478875634E-4
94279,5	0,00105570619103916
94279,1	-1,66782023326891E-4
94278,7	-2,62788741607991E-4
94278,3	6,61891784420977E-4
94277,9	0,00135883801961972
94277,5	4,74174642366089E-4
94277,1	0,00107592965745955
94276,7	9,0904404319559E-4
94276,3	-1,3144925801011E-4
94275,9	-9,34800859721125E-4
94275,5	-2,77899736819293E-4
94275,1	-4,34165373380841E-4
94274,7	9,24368403756197E-4
94274,3	4,74592051890833E-4
94273,9	4,19233935785084E-4
94273,5	6,31254420051526E-4
94273,1	-0,00163683956672931
94272,7	-6,66604386332247E-4
94272,3	-1,1122782716762E-4
94271,9	2,11912745432103E-4
94271,5	-2,52575155941561E-4
94271,1	5,45471626399661E-4
94270,7	1,61256298080693E-4
94270,3	7,77713880771575E-4
94269,9	0,00120215802690026
94269,5	-2,98121167661783E-4
94269,1	-2,17651157501637E-4
94268,7	-3,13784661385324E-7
94268,3	-0,00102079905430019
94267,9	7,62593903649398E-4
94267,5	9,39488380878365E-4
94267,1	8,63704789754676E-4
94266,7	4,19028534557706E-4
94266,3	-2,5298392281842E-4
94265,9	2,67884351116117E-4
94265,5	-4,95033710083763E-4
94265,1	-7,37898656261943E-4
94264,7	-7,32583158666366E-4
94264,3	-1,4145744244916E-4
94263,9	-5,40376016891523E-4
94263,5	-1,61475846905159E-4
94263,1	-7,2257426177505E-4
94262,7	-4,79913393698616E-4
94262,3	9,64607560528719E-4
94261,9	-3,1324148404694E-4
94261,5	2,8810442490668E-4
94261,1	7,27261138332625E-4
94260,7	-7,2726800033376E-4
94260,3	-0,00121749755284691
94259,9	1,0100077243006E-4
94259,5	-5,81021565700025E-4
94259,1	-9,14374706177228E-4
94258,7	4,64582510399853E-4
94258,3	-8,03256992684826E-4
94257,9	-1,03226815526995E-5
94257,5	9,09902131501322E-5
94257,1	9,44385790423249E-4
94256,7	-0,00123281225297067
94256,3	0,00126774142468717
94255,9	5,80803034664506E-4
94255,5	9,39690728738896E-4
94255,1	3,03013411520431E-4
94254,7	-1,4166216515057E-4
94254,3	-1,56986186448186E-4
94253,9	-4,09034836978735E-4
94253,5	7,11937795560967E-4
94253,1	-0,00100077963205524
94252,7	-4,54587795031933E-4
94252,3	9,05821247992425E-5
94251,9	-4,39265470049234E-4
